ecosystem	name	version	scope	direct	source	checksum	lock_key
npm	@types/estree	1.0.9	dev	false	registry:npmjs	sha512-GhdPgy1el4/ImP05X05Uw4cw2/M93BCUmnEvWZNStlCzEKME4Fkk+YpoA5OiHNQmoS7Cafb8Xa3Pya8m1Qrzeg==	npm:node_modules/@types/estree
npm	@types/jsdom	28.0.3	dev	true	registry:npmjs	sha512-/HQ2uFoetFTXuye8vzIcHw2z6Fwi7Hi/qcgC+RoS9NCyewiqxhVGqlG+ViGB6lkax481R6dmhf1I7lIGlzJStQ==	npm:node_modules/@types/jsdom
npm	@types/node	26.1.1	dev	true	registry:npmjs	sha512-nxAkRSVkN1Y0JC1W8ky/fTfkGsMmcrRsbx+3XoZE+rMOX71kLYTV7fLXpqud1GpbpP5TuffXFqfX7fH2GgZREw==	npm:node_modules/@types/node
npm	@types/react	19.2.17	dev	true	registry:npmjs	sha512-MXfmqaVPEVgkBT/aY0aGCkRWWtByiYQXo3xdQ8r5RzuFrPiRn8Gar2tQdXSUQ2GKV3bkXckek89V8wQBY2Q/Aw==	npm:node_modules/@types/react
npm	@types/react-dom	19.2.3	dev	true	registry:npmjs	sha512-jp2L/eY6fn+KgVVQAOqYItbF0VY/YApe5Mz2F0aykSO8gx31bYCZyvSeYxCHKvzHG5eZjc+zyaS5BrBWya2+kQ==	npm:node_modules/@types/react-dom
npm	@types/tough-cookie	4.0.5	dev	false	registry:npmjs	sha512-/Ad8+nIOV7Rl++6f1BdKxFSMgmoqEoYbHRpPcx3JEfv8VRsQe9Z4mCXeJBzxs7mbHY/XOZZuXlRNfhpVPbs6ZA==	npm:node_modules/@types/tough-cookie
npm	@typescript/typescript-aix-ppc64	7.0.2	runtime	false	registry:npmjs	sha512-MTKKkWB7p/0E9xi1d1tHtZ5PiLkGEMIq88pK2CubZjOsLtYTLqhgIgi6zepFa+9GHZ6h05NMCkQxGKiPXMxXtQ==	npm:node_modules/@typescript/typescript-aix-ppc64
npm	@typescript/typescript-darwin-arm64	7.0.2	runtime	false	registry:npmjs	sha512-gowzar9MwS/aRWp6f3a4KUqzRjAZjOsmGNCM6LcTgXum+dBfgsBVMN+AgvOCCbguXyick6LJhpBszxMebJ8syA==	npm:node_modules/@typescript/typescript-darwin-arm64
npm	@typescript/typescript-darwin-x64	7.0.2	runtime	false	registry:npmjs	sha512-SZ9xZInqApNlNGc9s0W1VSsktYSOe9cFqNOIqmN1Gs8SmkjKZYFt017G4VwPxASInODuAdbTW7sXiFUf893RgA==	npm:node_modules/@typescript/typescript-darwin-x64
npm	@typescript/typescript-freebsd-arm64	7.0.2	runtime	false	registry:npmjs	sha512-W5NH4y/J0plIIS5b2xvTEkU7JFxyqdMAOgf+Ilhl0vHQXKO5dZoxd+C/jEtq56c4F3wk71RB4BMRQ2XdI+bwYQ==	npm:node_modules/@typescript/typescript-freebsd-arm64
npm	@typescript/typescript-freebsd-x64	7.0.2	runtime	false	registry:npmjs	sha512-UMGDx5sTpzNw3WiPebH7l90IWfJggEd+egHt/q6p7/Cm3zqoV7VxkGXt+3DxPIw8CcmvAB0j3sVVfbhX+M4Tpw==	npm:node_modules/@typescript/typescript-freebsd-x64
npm	@typescript/typescript-linux-arm	7.0.2	runtime	false	registry:npmjs	sha512-gffT3xPz9sR7j/YJExkyPntrI0P2EP9XbOyWzth2/Gs0RstK+90RBcO0ncXoXy/beYll1SXw846Nf2zdnEz0QQ==	npm:node_modules/@typescript/typescript-linux-arm
npm	@typescript/typescript-linux-arm64	7.0.2	runtime	false	registry:npmjs	sha512-Qh4eU4/y3yDjnfjjyPYihMj5/ODIlmt+Bzu17OI+fiSRDW57QmU5SiN63exPRNJPKUzcc1INa1NXdrJ+MqHjUQ==	npm:node_modules/@typescript/typescript-linux-arm64
npm	@typescript/typescript-linux-loong64	7.0.2	runtime	false	registry:npmjs	sha512-uEHck9i8hoAzXPiYRib1O7miOnz23SxIeVl6F4LXox+qov1K35jHcEW6VHKvZI+pyvl7fZEP4MCU5LYvIq1GuQ==	npm:node_modules/@typescript/typescript-linux-loong64
npm	@typescript/typescript-linux-mips64el	7.0.2	runtime	false	registry:npmjs	sha512-R4KvAMnE43W5Qeqb0Ly56O3mWMWIAgsMyz36DCaycd5nbg/9kzm0liw3JocfRqyJY0KPmzFjbswozXyW0DnIYA==	npm:node_modules/@typescript/typescript-linux-mips64el
npm	@typescript/typescript-linux-ppc64	7.0.2	runtime	false	registry:npmjs	sha512-DORx5b3sd/4S7eayxm4FQv+A7CrkUIGRaHiwI8oiHTAI1fAPWhF4J0vAlkC8biAlHSVVwxMQ3tjZ2/DVbnQiiA==	npm:node_modules/@typescript/typescript-linux-ppc64
npm	@typescript/typescript-linux-riscv64	7.0.2	runtime	false	registry:npmjs	sha512-wf0jqEDOjrPRnKwYRyyJDRo11KMbvMFrU+q4zqKyChODBzvlkbhNQfKvLxQCcwTpdDaXSHZTVuh0JoCrKCUMHQ==	npm:node_modules/@typescript/typescript-linux-riscv64
npm	@typescript/typescript-linux-s390x	7.0.2	runtime	false	registry:npmjs	sha512-IkwJc3L7yhytWd/ewjyxNDfOmswCm9GWMJT/ue/dU4aZNbwZeYAetq42VyLmsmSjvoX7z74X6ZaYCtzAr0EuGw==	npm:node_modules/@typescript/typescript-linux-s390x
npm	@typescript/typescript-linux-x64	7.0.2	runtime	false	registry:npmjs	sha512-EYdf2cNg7rgCWJnxCdJ+F3V39O8ihb37eHAu1LK8oAFizgTQbPOK7zHHXbPt8rX24COqODXeI3sIf0fCXG7H/A==	npm:node_modules/@typescript/typescript-linux-x64
npm	@typescript/typescript-netbsd-arm64	7.0.2	runtime	false	registry:npmjs	sha512-+polYF4MF04aPpO5FTkHran9yUQDSXqy5GiSDKpsll5jy3l3+g9QLhpf39T+ePtefhXLOGrLl0QIjkQP6VnelA==	npm:node_modules/@typescript/typescript-netbsd-arm64
npm	@typescript/typescript-netbsd-x64	7.0.2	runtime	false	registry:npmjs	sha512-8YIT0EHM/3dq10ZOVF/A7pc/YSMtbcecct4rWtexrnSCHOPcpC2KTLXfTCR6vDpnSiY12heNb1GiN/wu+T/FyA==	npm:node_modules/@typescript/typescript-netbsd-x64
npm	@typescript/typescript-openbsd-arm64	7.0.2	runtime	false	registry:npmjs	sha512-APT8+ClYnuYm1u9+kgGXoMj2VzWzcymwh2gNSQVySHfkRDGOTVkoWLjCmOQSaO+PoqQ57B0flRp9SA+7GnnkzQ==	npm:node_modules/@typescript/typescript-openbsd-arm64
npm	@typescript/typescript-openbsd-x64	7.0.2	runtime	false	registry:npmjs	sha512-yX7s+Q0Dln0Dt9tEzZsAjXXR/+ytBM7AlglaqyeMPxQszJ1JhlJdZ6jLA+IzldHtflX81em7lDao1xXu+aRRkg==	npm:node_modules/@typescript/typescript-openbsd-x64
npm	@typescript/typescript-sunos-x64	7.0.2	runtime	false	registry:npmjs	sha512-dLJDGaLZ1D4HPQn62u1n8mBDkJREwMsAkCdkwd4Ieqw+x3TUyTsqY0YiBCtE6H6OzzgGk3iuZ3vFWRS+E8/d1g==	npm:node_modules/@typescript/typescript-sunos-x64
npm	@typescript/typescript-win32-arm64	7.0.2	runtime	false	registry:npmjs	sha512-Gyl1Vy6OsWesLzmq+EP0Fb7b4Nid5232AvcA2SFcdYreldpNtYFFofPjnt62y9hQy7VTaZp65ICJjuAQRaVcIQ==	npm:node_modules/@typescript/typescript-win32-arm64
npm	@typescript/typescript-win32-x64	7.0.2	runtime	false	registry:npmjs	sha512-0BQ3HkAHHlKLSp1qRvf3SUhGpGsDuhB/jgFw75guyqbxJqEaS0Cw/VFO8i2nHglJUzQCRtMMR/IBAKE3ETMC4g==	npm:node_modules/@typescript/typescript-win32-x64
