ecosystem	name	version	license_file	sha256	lock_key	evidence_status	reason
npm	@testing-library/dom	10.4.1	LICENSE	BF8FD38056B7606DECCFCADB4D8CA1C210082D8EF5513426D2650DAEDC30BED3	npm:node_modules/@testing-library/dom	HASHED	PACKAGED_LICENSE_FILE
npm	@testing-library/react	16.3.2	LICENSE	9680978280D509520D2A7B51E93FFBF7D9EC2B9DE4411A6989DABA5B659048E0	npm:node_modules/@testing-library/react	HASHED	PACKAGED_LICENSE_FILE
npm	@tybys/wasm-util	0.10.3	NO_PACKAGED_LICENSE_FILE	NOT_APPLICABLE	npm:node_modules/@tybys/wasm-util	ABSENT_WITH_EXPLICIT_DECISION	NO_LICENSE_FILE_IN_VERIFIED_PACKAGE_ARCHIVE
npm	@types/aria-query	5.0.4	LICENSE	C2CFCCB812FE482101A8F04597DFC5A9991A6B2748266C47AC91B6A5AAE15383	npm:node_modules/@types/aria-query	HASHED	PACKAGED_LICENSE_FILE
npm	@types/chai	5.2.3	LICENSE	C2CFCCB812FE482101A8F04597DFC5A9991A6B2748266C47AC91B6A5AAE15383	npm:node_modules/@types/chai	HASHED	PACKAGED_LICENSE_FILE
npm	@types/deep-eql	4.0.2	LICENSE	C2CFCCB812FE482101A8F04597DFC5A9991A6B2748266C47AC91B6A5AAE15383	npm:node_modules/@types/deep-eql	HASHED	PACKAGED_LICENSE_FILE
npm	@types/estree	1.0.9	LICENSE	C2CFCCB812FE482101A8F04597DFC5A9991A6B2748266C47AC91B6A5AAE15383	npm:node_modules/@types/estree	HASHED	PACKAGED_LICENSE_FILE
npm	@types/jsdom	28.0.3	LICENSE	C2CFCCB812FE482101A8F04597DFC5A9991A6B2748266C47AC91B6A5AAE15383	npm:node_modules/@types/jsdom	HASHED	PACKAGED_LICENSE_FILE
npm	@types/node	26.1.1	LICENSE	C2CFCCB812FE482101A8F04597DFC5A9991A6B2748266C47AC91B6A5AAE15383	npm:node_modules/@types/node	HASHED	PACKAGED_LICENSE_FILE
npm	@types/react	19.2.17	LICENSE	C2CFCCB812FE482101A8F04597DFC5A9991A6B2748266C47AC91B6A5AAE15383	npm:node_modules/@types/react	HASHED	PACKAGED_LICENSE_FILE
npm	@types/react-dom	19.2.3	LICENSE	C2CFCCB812FE482101A8F04597DFC5A9991A6B2748266C47AC91B6A5AAE15383	npm:node_modules/@types/react-dom	HASHED	PACKAGED_LICENSE_FILE
npm	@types/tough-cookie	4.0.5	LICENSE	C2CFCCB812FE482101A8F04597DFC5A9991A6B2748266C47AC91B6A5AAE15383	npm:node_modules/@types/tough-cookie	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-aix-ppc64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-aix-ppc64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-aix-ppc64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-aix-ppc64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-darwin-arm64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-darwin-arm64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-darwin-arm64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-darwin-arm64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-darwin-x64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-darwin-x64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-darwin-x64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-darwin-x64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-freebsd-arm64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-freebsd-arm64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-freebsd-arm64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-freebsd-arm64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-freebsd-x64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-freebsd-x64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-freebsd-x64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-freebsd-x64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-arm	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-linux-arm	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-arm	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-linux-arm	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-arm64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-linux-arm64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-arm64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-linux-arm64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-loong64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-linux-loong64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-loong64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-linux-loong64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-mips64el	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-linux-mips64el	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-mips64el	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-linux-mips64el	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-ppc64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-linux-ppc64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-ppc64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-linux-ppc64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-riscv64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-linux-riscv64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-riscv64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-linux-riscv64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-s390x	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-linux-s390x	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-s390x	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-linux-s390x	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-x64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-linux-x64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-linux-x64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-linux-x64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-netbsd-arm64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-netbsd-arm64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-netbsd-arm64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-netbsd-arm64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-netbsd-x64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-netbsd-x64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-netbsd-x64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-netbsd-x64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-openbsd-arm64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-openbsd-arm64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-openbsd-arm64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-openbsd-arm64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-openbsd-x64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-openbsd-x64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-openbsd-x64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-openbsd-x64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-sunos-x64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-sunos-x64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-sunos-x64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-sunos-x64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-win32-arm64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-win32-arm64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-win32-arm64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-win32-arm64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-win32-x64	7.0.2	LICENSE	A7D00BFD54525BC694B6E32F64C7EBCF5E6B7AE3657BE5CC12767BCE74654A47	npm:node_modules/@typescript/typescript-win32-x64	HASHED	PACKAGED_LICENSE_FILE
npm	@typescript/typescript-win32-x64	7.0.2	NOTICE.txt	F5C708B59114507B8B27B48181B6883D106BBCA0C1634BBEE45B5E344237B66B	npm:node_modules/@typescript/typescript-win32-x64	HASHED	PACKAGED_LICENSE_FILE
npm	@vitejs/plugin-react	6.0.3	LICENSE	29B68325FE026047D13E187B44C33B2ACACF7DC647DEC4583702E59F235E13B5	npm:node_modules/@vitejs/plugin-react	HASHED	PACKAGED_LICENSE_FILE
npm	@vitest/expect	4.1.10	LICENSE	04575FC5BFAE19A9B63100F8691F901A2E15A399011AC02DB435A9EF27295551	npm:node_modules/@vitest/expect	HASHED	PACKAGED_LICENSE_FILE
npm	@vitest/mocker	4.1.10	LICENSE	04575FC5BFAE19A9B63100F8691F901A2E15A399011AC02DB435A9EF27295551	npm:node_modules/@vitest/mocker	HASHED	PACKAGED_LICENSE_FILE
npm	@vitest/pretty-format	4.1.10	LICENSE	04575FC5BFAE19A9B63100F8691F901A2E15A399011AC02DB435A9EF27295551	npm:node_modules/@vitest/pretty-format	HASHED	PACKAGED_LICENSE_FILE
npm	@vitest/runner	4.1.10	LICENSE	04575FC5BFAE19A9B63100F8691F901A2E15A399011AC02DB435A9EF27295551	npm:node_modules/@vitest/runner	HASHED	PACKAGED_LICENSE_FILE
npm	@vitest/snapshot	4.1.10	LICENSE	04575FC5BFAE19A9B63100F8691F901A2E15A399011AC02DB435A9EF27295551	npm:node_modules/@vitest/snapshot	HASHED	PACKAGED_LICENSE_FILE
npm	@vitest/spy	4.1.10	LICENSE	04575FC5BFAE19A9B63100F8691F901A2E15A399011AC02DB435A9EF27295551	npm:node_modules/@vitest/spy	HASHED	PACKAGED_LICENSE_FILE
npm	@vitest/utils	4.1.10	LICENSE	04575FC5BFAE19A9B63100F8691F901A2E15A399011AC02DB435A9EF27295551	npm:node_modules/@vitest/utils	HASHED	PACKAGED_LICENSE_FILE
npm	ansi-regex	5.0.1	license	48DA2F39E100D4085767E94966B43F4FA95FF6A0698FBA57ED460914E35F94A0	npm:node_modules/ansi-regex	HASHED	PACKAGED_LICENSE_FILE
